org.apache.tools.ant.types.RedirectorElement	public void configure(org.apache.tools.ant.taskdefs.Redirector, java.lang.String) 	redirector	B3	0/46
org.apache.tools.zip.ZipOutputStreamTest	protected void setUp() throws java.lang.Exception	result	B1	1/9
org.apache.tools.ant.Target	public void execute() throws org.apache.tools.ant.BuildException	project	B1	1/4
org.apache.tools.ant.Target	public void execute() throws org.apache.tools.ant.BuildException	project	B6	0/3
org.apache.tools.tar.TarOutputStream	public void closeEntry() throws java.io.IOException	buffer	B1	1/4
org.apache.tools.tar.TarOutputStream	public void closeEntry() throws java.io.IOException	buffer	B2	0/3
org.apache.tools.ant.taskdefs.Copy	protected Map#RAW buildMap(org.apache.tools.ant.types.Resource[], java.io.File, org.apache.tools.ant.util.FileNameMapper) 	mappedFiles	B9	1/4
org.apache.tools.ant.taskdefs.Copy	protected Map#RAW buildMap(org.apache.tools.ant.types.Resource[], java.io.File, org.apache.tools.ant.util.FileNameMapper) 	mappedFiles	B11	0/2
org.apache.tools.ant.taskdefs.Copy	protected void buildMap(java.io.File, java.io.File, java.lang.String[], org.apache.tools.ant.util.FileNameMapper, Hashtable#RAW) 	mappedFiles	B9	1/4
org.apache.tools.ant.taskdefs.Copy	protected void buildMap(java.io.File, java.io.File, java.lang.String[], org.apache.tools.ant.util.FileNameMapper, Hashtable#RAW) 	mappedFiles	B11	0/2
org.apache.tools.ant.taskdefs.optional.depend.Depend	private org.apache.tools.ant.types.Path getCheckClassPath() 	inDestPath	B5	1/4
org.apache.tools.ant.taskdefs.optional.depend.Depend	private org.apache.tools.ant.types.Path getCheckClassPath() 	inDestPath	B6	0/2
org.apache.tools.ant.taskdefs.Copy	public void execute() throws org.apache.tools.ant.BuildException	ds	B16	1/4
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter	protected int executeExternalCompile(java.lang.String[], int, boolean) 	out	B2	1/4
org.apache.tools.ant.util.FileUtilsTest	public void testToURI() 	uriClazz	B2	1/4
org.apache.tools.ant.taskdefs.XSLTProcess	public void execute() throws org.apache.tools.ant.BuildException	fr	B14	3/6
org.apache.tools.ant.taskdefs.XSLTProcess	public void execute() throws org.apache.tools.ant.BuildException	fr	B17	0/3
org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter.RmicFileNameMapper	public java.lang.String[] mapFileName(java.lang.String) 	iDir	B15	6/9
org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter.RmicFileNameMapper	public java.lang.String[] mapFileName(java.lang.String) 	iDir	B17	1/3
org.apache.tools.ant.ComponentHelper	private void initTasks() 	def	B5	1/8
org.apache.tools.ant.taskdefs.Execute.WinNTCommandLauncher	public java.lang.Process exec(org.apache.tools.ant.Project, java.lang.String[], java.lang.String[], java.io.File) throws java.io.IOException	newcmd	B5	1/8
org.apache.tools.mail.MailMessageTest.ClientThread	public void run() 	msg	B1	1/7
org.apache.tools.ant.taskdefs.PreSetDef	public void execute() 	helper	B5	2/7
org.apache.tools.ant.taskdefs.PreSetDef	public void execute() 	helper	B7	0/3
org.apache.tools.ant.taskdefs.optional.net.FTPTest	public void testGetWithSelector() 	sortedDestinationFiles	B1	3/7
org.apache.tools.ant.taskdefs.optional.net.FTPTest	public void testGetWithSelector() 	sortedDestinationFiles	B4	0/2
org.apache.tools.ant.taskdefs.optional.javacc.JJDoc	private java.lang.String createOutputFileName(java.io.File, java.lang.String, boolean) 	javaccFile	B1	1/5
org.apache.tools.ant.taskdefs.optional.javacc.JJDoc	private java.lang.String createOutputFileName(java.io.File, java.lang.String, boolean) 	javaccFile	B3	1/4
org.apache.tools.ant.taskdefs.optional.javacc.JJDoc	private java.lang.String createOutputFileName(java.io.File, java.lang.String, boolean) 	javaccFile	B4	0/3
org.apache.tools.ant.XmlLogger	public void targetFinished(org.apache.tools.ant.BuildEvent) 	parentElement	B2	5/8
org.apache.tools.ant.XmlLogger	public void targetFinished(org.apache.tools.ant.BuildEvent) 	parentElement	B5	0/2
org.apache.tools.ant.filters.StripLineBreaks	private void initialize() 	userDefinedLineBreaks	B1	0/7
org.apache.tools.ant.filters.StripLineBreaks	private void initialize() 	userDefinedLineBreaks	B2	0/4
org.apache.tools.ant.filters.StripLineBreaks	private void initialize() 	userDefinedLineBreaks	B3	1/2
org.apache.tools.ant.types.resources.selectors.InstanceOf	public boolean isSelected(org.apache.tools.ant.types.Resource) 	c	B3	0/9
org.apache.tools.ant.types.resources.selectors.InstanceOf	public boolean isSelected(org.apache.tools.ant.types.Resource) 	c	B6	1/3
org.apache.tools.ant.taskdefs.optional.i18n.Translate	private void loadResourceMap(java.io.FileInputStream) throws org.apache.tools.ant.BuildException	value	B12	0/5
org.apache.tools.ant.taskdefs.optional.i18n.Translate	private void loadResourceMap(java.io.FileInputStream) throws org.apache.tools.ant.BuildException	value	B13	1/3
org.apache.tools.ant.taskdefs.Java	private void setupEnvironment(org.apache.tools.ant.taskdefs.Execute) 	exe	B1	1/3
org.apache.tools.ant.taskdefs.Java	private void setupEnvironment(org.apache.tools.ant.taskdefs.Execute) 	exe	B4	0/2
org.apache.tools.tar.TarOutputStream	public void close() throws java.io.IOException	buffer	B1	1/3
org.apache.tools.tar.TarOutputStream	public void close() throws java.io.IOException	buffer	B2	0/2
org.apache.tools.ant.IntrospectionHelper	private org.apache.tools.ant.IntrospectionHelper.NestedCreator createAddTypeCreator(org.apache.tools.ant.Project, java.lang.Object, java.lang.String) throws org.apache.tools.ant.BuildException	rObject	B7	1/4
org.apache.tools.ant.IntrospectionHelper	private org.apache.tools.ant.IntrospectionHelper.NestedCreator createAddTypeCreator(org.apache.tools.ant.Project, java.lang.Object, java.lang.String) throws org.apache.tools.ant.BuildException	rObject	B9	0/3
org.apache.tools.ant.taskdefs.condition.Os	public static boolean isOs(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	is9x	B3	2/4
org.apache.tools.ant.taskdefs.optional.net.FTPTest	public void test1() 	ds	B3	2/4
org.apache.tools.ant.taskdefs.optional.net.FTPTest	public void test2() 	ds	B3	2/4
org.apache.tools.ant.taskdefs.optional.net.FTPTest	public void testFullPathMatchesCaseSensitive() 	ds	B3	2/4
org.apache.tools.ant.ComponentHelper	private void initTypes() 	def	B5	1/6
org.apache.tools.ant.ComponentHelper	public java.lang.String diagnoseCreationFailure(java.lang.String, java.lang.String) 	clazz	B5	1/6
org.apache.tools.ant.taskdefs.optional.script.ScriptDef	public void execute() 	scriptRepository	B23	1/6
org.apache.tools.ant.types.selectors.DependSelectorTest	public void testSelectionBehaviour() 	m	B1	9/51
org.apache.tools.ant.taskdefs.Zip	public void executeMain() throws org.apache.tools.ant.BuildException	oldFiles	B32	5/7
org.apache.tools.bzip2.CBZip2OutputStream	private void sendMTFValues0(int, int) 	len_np	B3	7/12
org.apache.tools.bzip2.CBZip2OutputStream	private void sendMTFValues0(int, int) 	len_np	B4	4/9
org.apache.tools.bzip2.CBZip2OutputStream	private void sendMTFValues0(int, int) 	len_np	B6	2/7
org.apache.tools.bzip2.CBZip2OutputStream	private void sendMTFValues0(int, int) 	len_np	B8	0/5
org.apache.tools.bzip2.CBZip2OutputStream	private void sendMTFValues0(int, int) 	len_np	B9	0/4
org.apache.tools.bzip2.CBZip2OutputStream	private void sendMTFValues0(int, int) 	len_np	B10	0/3
org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter.RmicFileNameMapper	public java.lang.String[] mapFileName(java.lang.String) 	dirname	B10	4/6
org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter.RmicFileNameMapper	public java.lang.String[] mapFileName(java.lang.String) 	dirname	B12	1/2
org.apache.tools.ant.taskdefs.optional.net.FTP	private java.io.File findFileName(org.apache.commons.net.ftp.FTPClient) 	found	B3	1/10
org.apache.tools.ant.taskdefs.optional.net.FTP	private java.io.File findFileName(org.apache.commons.net.ftp.FTPClient) 	found	B5	0/4
org.apache.tools.ant.taskdefs.optional.net.FTP	private java.io.File findFileName(org.apache.commons.net.ftp.FTPClient) 	found	B6	1/2
org.apache.tools.ant.taskdefs.optional.net.FTPTest	public void test2ButCaseInsensitive() 	ds	B3	3/5
org.apache.tools.ant.taskdefs.optional.net.FTPTest	public void test2bisButCaseInsensitive() 	ds	B3	3/5
org.apache.tools.ant.taskdefs.optional.net.FTPTest	public void testFullPathMatchesCaseInsensitive() 	ds	B3	3/5
org.apache.tools.ant.taskdefs.Copy	public void execute() throws org.apache.tools.ant.BuildException	srcFiles	B33	1/5
org.apache.tools.ant.taskdefs.Copydir	private void scanDir(java.io.File, java.io.File, java.lang.String[]) 	destFile	B2	1/5
org.apache.tools.ant.taskdefs.PathConvert	private void validateSetup() throws org.apache.tools.ant.BuildException	dsep	B3	1/5
org.apache.tools.ant.taskdefs.PathConvert	private void validateSetup() throws org.apache.tools.ant.BuildException	psep	B3	1/5
org.apache.tools.ant.taskdefs.XmlPropertyTest	private void doTest(java.lang.String, boolean, boolean, boolean, boolean, boolean) 	workingDir	B3	1/5
org.apache.tools.ant.taskdefs.Zip	protected final void addParentDirs(java.io.File, java.lang.String, org.apache.tools.zip.ZipOutputStream, java.lang.String, int) throws java.io.IOException	f	B8	1/5
org.apache.tools.ant.taskdefs.optional.net.FTP.FTPDirectoryScanner.AntFTPFile	private java.lang.String getRelativePath(java.lang.String, java.lang.String) 	theFile	B3	1/5
org.apache.tools.ant.taskdefs.optional.perforce.P4Base	protected void execP4Command(java.lang.String, org.apache.tools.ant.taskdefs.optional.perforce.P4Handler) throws org.apache.tools.ant.BuildException	exe	B11	1/5
org.apache.tools.ant.taskdefs.optional.ssh.SSHBase	protected com.jcraft.jsch.Session openSession() throws com.jcraft.jsch.JSchException	jsch	B1	1/5
org.apache.tools.ant.types.FilterSet	private synchronized java.lang.String iReplaceTokens(java.lang.String) 	value	B6	2/5
org.apache.tools.ant.types.FilterSet	private synchronized java.lang.String iReplaceTokens(java.lang.String) 	value	B7	0/3
org.apache.tools.ant.taskdefs.AbstractCvsTask	public void execute() throws org.apache.tools.ant.BuildException	cloned	B3	2/5
org.apache.tools.ant.taskdefs.AbstractCvsTask	public void execute() throws org.apache.tools.ant.BuildException	cloned	B4	0/2
org.apache.tools.ant.taskdefs.cvslib.ChangeLogParser	private void saveEntry() 	entry	B1	2/5
org.apache.tools.ant.taskdefs.cvslib.ChangeLogParser	private void saveEntry() 	entry	B2	0/2
org.apache.tools.ant.types.XMLCatalogTest	public void testCircularReferenceCheck() 	catalog1	B1	2/10
org.apache.tools.ant.taskdefs.optional.ssh.ScpFromMessageBySftp	private void getFile(com.jcraft.jsch.ChannelSftp, com.jcraft.jsch.ChannelSftp.LsEntry, java.io.File) throws java.io.IOException, com.jcraft.jsch.SftpException	monitor	B7	1/5
org.apache.tools.bzip2.CBZip2OutputStream	private int sendMTFValues1(int, int) 	rfreq_bt	B9	18/21
org.apache.tools.bzip2.CBZip2OutputStream	private int sendMTFValues1(int, int) 	rfreq_bt	B20	5/8
org.apache.tools.bzip2.CBZip2OutputStream	private int sendMTFValues1(int, int) 	rfreq_bt	B21	4/7
org.apache.tools.bzip2.CBZip2OutputStream	private int sendMTFValues1(int, int) 	rfreq_bt	B24	0/3
org.apache.tools.bzip2.CBZip2OutputStream	private int sendMTFValues1(int, int) 	rfreq_bt	B25	0/2
org.apache.tools.ant.Main	private static void printTargets(org.apache.tools.ant.Project, boolean) 	project	B2	7/17
org.apache.tools.ant.Main	private static void printTargets(org.apache.tools.ant.Project, boolean) 	project	B9	0/8
org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask	public void execute() throws org.apache.tools.ant.BuildException	myCvsVersion	B5	5/8
org.apache.tools.ant.helper.ProjectHelperImpl.TargetHandler	public void init(java.lang.String, org.xml.sax.AttributeList) throws org.xml.sax.SAXParseException	helperImpl	B1	14/35
org.apache.tools.ant.helper.ProjectHelperImpl.TargetHandler	public void init(java.lang.String, org.xml.sax.AttributeList) throws org.xml.sax.SAXParseException	helperImpl	B2	13/29
org.apache.tools.ant.helper.ProjectHelperImpl.TargetHandler	public void init(java.lang.String, org.xml.sax.AttributeList) throws org.xml.sax.SAXParseException	helperImpl	B19	0/11
org.apache.tools.ant.taskdefs.PreSetDef	public void execute() 	newDef	B5	3/7
org.apache.tools.ant.taskdefs.PreSetDef	public void execute() 	newDef	B7	0/3
org.apache.tools.ant.taskdefs.optional.net.FTPTest	public void testGetWithSelector() 	sortedDestinationDirectories	B1	3/7
org.apache.tools.ant.taskdefs.optional.net.FTPTest	public void testGetWithSelector() 	sortedDestinationDirectories	B2	0/2
org.apache.tools.ant.types.selectors.SelectorUtils	public static boolean match(java.lang.String, java.lang.String, boolean) 	containsStar	B1	1/6
org.apache.tools.ant.types.selectors.SelectorUtils	public static boolean match(java.lang.String, java.lang.String, boolean) 	containsStar	B2	0/4
org.apache.tools.ant.types.selectors.SelectorUtils	public static boolean match(java.lang.String, java.lang.String, boolean) 	containsStar	B3	1/2
org.apache.tools.ant.types.selectors.ModifiedSelectorTest	public void testScenario1() 	bft	B1	2/9
org.apache.tools.ant.AntClassLoader	protected void definePackage(java.io.File, java.lang.String, java.util.jar.Manifest) 	sealBase	B1	5/13
org.apache.tools.ant.AntClassLoader	protected void definePackage(java.io.File, java.lang.String, java.util.jar.Manifest) 	sealBase	B3	2/7
org.apache.tools.ant.AntClassLoader	protected void definePackage(java.io.File, java.lang.String, java.util.jar.Manifest) 	sealBase	B18	0/3
org.apache.tools.ant.taskdefs.Rmic	protected void scanDir(java.io.File, java.lang.String[], org.apache.tools.ant.util.FileNameMapper) 	newFiles	B1	2/5
org.apache.tools.ant.taskdefs.Rmic	protected void scanDir(java.io.File, java.lang.String[], org.apache.tools.ant.util.FileNameMapper) 	newFiles	B3	1/3
org.apache.tools.ant.taskdefs.Rmic	protected void scanDir(java.io.File, java.lang.String[], org.apache.tools.ant.util.FileNameMapper) 	newFiles	B5	0/2
org.apache.tools.ant.helper.ProjectHelperImpl.TargetHandler	public void init(java.lang.String, org.xml.sax.AttributeList) throws org.xml.sax.SAXParseException	target	B1	14/30
org.apache.tools.ant.helper.ProjectHelperImpl.TargetHandler	public void init(java.lang.String, org.xml.sax.AttributeList) throws org.xml.sax.SAXParseException	target	B2	13/25
org.apache.tools.ant.helper.ProjectHelperImpl.TargetHandler	public void init(java.lang.String, org.xml.sax.AttributeList) throws org.xml.sax.SAXParseException	target	B19	0/8
org.apache.tools.ant.taskdefs.condition.AntVersion	private org.apache.tools.ant.util.DeweyDecimal getVersion() 	end	B2	0/4
org.apache.tools.ant.taskdefs.condition.AntVersion	private org.apache.tools.ant.util.DeweyDecimal getVersion() 	end	B3	1/2
org.apache.tools.ant.Diagnostics	private static void doReportSystemProperties(java.io.PrintStream) 	value	B3	1/4
org.apache.tools.ant.Main	private void addInputHandler(org.apache.tools.ant.Project) throws org.apache.tools.ant.BuildException	handler	B1	1/4
org.apache.tools.ant.helper.TaskAdapter2	public void execute() throws org.apache.tools.ant.BuildException	setProjectM	B1	1/4
org.apache.tools.ant.input.DefaultInputHandler	public void handleInput(org.apache.tools.ant.input.InputRequest) throws org.apache.tools.ant.BuildException	request	B2	1/4
org.apache.tools.ant.taskdefs.Classloader	public void execute() 	obj	B3	1/4
org.apache.tools.ant.taskdefs.Definer	public void execute() throws org.apache.tools.ant.BuildException	fmt	B17	1/4
org.apache.tools.ant.taskdefs.ExecuteJava	public static void setupCommandLineForVMS(org.apache.tools.ant.taskdefs.Execute, java.lang.String[]) 	vmsJavaOptionFile	B1	1/4
org.apache.tools.ant.taskdefs.Expand	protected void extractFile(org.apache.tools.ant.util.FileUtils, java.io.File, java.io.File, java.io.InputStream, java.lang.String, java.util.Date, boolean, org.apache.tools.ant.util.FileNameMapper) throws java.io.IOException	incls	B4	1/4
org.apache.tools.ant.taskdefs.Tar	protected boolean check(org.apache.tools.ant.types.ResourceCollection) 	base	B8	1/4
org.apache.tools.ant.taskdefs.email.MimeMailer	public void send() 	sds	B13	1/4
org.apache.tools.ant.taskdefs.email.MimeMailer	public void send() 	sesh	B3	1/4
org.apache.tools.ant.taskdefs.optional.ssh.ScpToMessage	private void sendFileToRemote(java.io.File, java.io.InputStream, java.io.OutputStream) throws java.io.IOException	command	B1	1/4
org.apache.tools.ant.types.XMLCatalogTest	public void testAbsolutePath() 	dtd	B1	1/4
org.apache.tools.ant.types.XMLCatalogTest	public void testSimpleEntry() 	dtd	B1	1/4
org.apache.tools.ant.util.JavaEnvUtils	public static java.io.File createVmsJavaOptionFile(java.lang.String[]) throws java.io.IOException	out	B1	1/4
org.apache.tools.bzip2.CBZip2InputStream	private void initBlock() throws java.io.IOException	data	B3	2/4
org.apache.tools.bzip2.CBZip2InputStream	private void initBlock() throws java.io.IOException	data	B5	0/2
org.apache.tools.ant.taskdefs.Move	protected void doFileOperations() 	fs	B5	2/4
org.apache.tools.ant.types.XMLCatalogTest	public void testCircularReferenceCheck() 	catalog2	B1	2/8
org.apache.tools.ant.types.XMLCatalogTest	public void testCircularReferenceCheck() 	catalog3	B1	2/8
org.apache.tools.ant.types.selectors.ModifiedSelectorTest	public void _testScenario2() 	bft	B1	2/8
org.apache.tools.ant.listener.CommonsLoggingListener	public void messageLogged(org.apache.tools.ant.BuildEvent) 	categoryString	B2	5/10
org.apache.tools.ant.taskdefs.optional.net.FTP.FTPDirectoryScanner.AntFTPFile	public java.lang.String getRelativePath() throws java.io.IOException, org.apache.tools.ant.BuildException	parent	B1	2/4
org.apache.tools.ant.taskdefs.optional.net.FTP.FTPDirectoryScanner.AntFTPFile	public java.lang.String getRelativePath() throws java.io.IOException, org.apache.tools.ant.BuildException	parent	B2	1/3
org.apache.tools.ant.taskdefs.optional.net.FTP.FTPDirectoryScanner.AntFTPFile	public java.lang.String getRelativePath() throws java.io.IOException, org.apache.tools.ant.BuildException	parent	B3	0/2
org.apache.tools.ant.listener.CommonsLoggingListener	public void messageLogged(org.apache.tools.ant.BuildEvent) 	categoryDetail	B2	5/9
org.apache.tools.ant.types.AbstractFileSetTest	public void testCircularReferenceCheck() 	f3	B1	5/18
org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector	public void configure() 	defaultCache	B3	2/7
org.apache.tools.ant.taskdefs.condition.Os	public static boolean isOs(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	isNT	B3	4/6
org.apache.tools.ant.taskdefs.condition.Os	public static boolean isOs(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	isNT	B4	1/2
org.apache.tools.ant.taskdefs.Concat	private void concatenate(char[], java.io.Writer, java.io.Reader) throws java.io.IOException	helper	B2	3/5
org.apache.tools.ant.taskdefs.optional.dotnet.WsdlToDotnet	public void execute() throws org.apache.tools.ant.BuildException	command	B5	5/16
org.apache.tools.ant.taskdefs.optional.net.FTP.FTPDirectoryScanner	private void checkRemoteSensitivity(org.apache.commons.net.ftp.FTPFile[], java.lang.String) 	candidateFound	B5	3/7
org.apache.tools.ant.taskdefs.optional.net.FTP.FTPDirectoryScanner	private void checkRemoteSensitivity(org.apache.commons.net.ftp.FTPFile[], java.lang.String) 	candidateFound	B6	2/6
org.apache.tools.ant.taskdefs.optional.net.FTP.FTPDirectoryScanner	private void checkRemoteSensitivity(org.apache.commons.net.ftp.FTPFile[], java.lang.String) 	candidateFound	B7	1/5
org.apache.tools.ant.taskdefs.SubAnt	public void execute() 	buildException	B7	3/7
org.apache.tools.ant.taskdefs.SubAnt	public void execute() 	buildException	B15	2/6
org.apache.tools.ant.taskdefs.SubAnt	public void execute() 	buildException	B16	1/5
org.apache.tools.ant.AntTypeDefinition	public java.lang.Object innerCreateAndSet(Class#RAW, org.apache.tools.ant.Project) throws java.lang.NoSuchMethodException, java.lang.InstantiationException, java.lang.IllegalAccessException, java.lang.reflect.InvocationTargetException	noArg	B1	1/3
org.apache.tools.ant.IntrospectionHelper	private org.apache.tools.ant.IntrospectionHelper.AttributeSetter createAttributeSetter(java.lang.reflect.Method, Class#RAW, java.lang.String) 	includeProject	B13	1/3
org.apache.tools.ant.RuntimeConfigurable	public synchronized void maybeConfigure(org.apache.tools.ant.Project, boolean) throws org.apache.tools.ant.BuildException	value	B5	1/3
org.apache.tools.ant.TaskAdapter	public void execute() throws org.apache.tools.ant.BuildException	setProjectM	B1	1/3
org.apache.tools.ant.XmlLogger	public void targetStarted(org.apache.tools.ant.BuildEvent) 	targetElement	B1	1/3
org.apache.tools.ant.XmlLogger	public void taskStarted(org.apache.tools.ant.BuildEvent) 	taskElement	B1	1/3
org.apache.tools.ant.launch.Locator	public static java.io.File getToolsJar() 	toolsJarAvailable	B1	1/3
org.apache.tools.ant.taskdefs.Concat	private void cat(org.apache.tools.ant.types.ResourceCollection) 	os	B3	1/3
org.apache.tools.ant.taskdefs.DependSet	private void logFuture(org.apache.tools.ant.types.ResourceCollection, org.apache.tools.ant.types.resources.selectors.ResourceSelector) 	r	B1	1/3
org.apache.tools.ant.taskdefs.ExecuteJava	public void run() 	perm	B1	1/3
org.apache.tools.ant.taskdefs.ExecuteWatchdogTest	public void testManualStop() throws java.lang.Exception	watchdog	B1	1/3
org.apache.tools.ant.taskdefs.Get	public boolean doGet(int, org.apache.tools.ant.taskdefs.Get.DownloadProgress) throws java.io.IOException	hasTimestamp	B11	1/3
org.apache.tools.ant.taskdefs.Get	public boolean doGet(int, org.apache.tools.ant.taskdefs.Get.DownloadProgress) throws java.io.IOException	timestamp	B11	1/3
org.apache.tools.ant.taskdefs.Java	private void run(org.apache.tools.ant.types.CommandlineJava) throws org.apache.tools.ant.BuildException	redirector	B1	1/3
org.apache.tools.ant.taskdefs.condition.IsReachable	public boolean eval() throws org.apache.tools.ant.BuildException	reachableMethod	B10	1/3
org.apache.tools.ant.taskdefs.optional.dotnet.WsdlToDotnet	public void execute() throws org.apache.tools.ant.BuildException	destLastModified	B11	1/3
org.apache.tools.ant.taskdefs.optional.http.Base64Encode	public char[] encodeBase64(byte[]) 	triple	B3	1/3
org.apache.tools.ant.taskdefs.optional.net.FTP.FTPDirectoryScanner.AntFTPFile	private java.lang.String getRelativePath(java.lang.String, java.lang.String) 	currentPath	B7	1/3
org.apache.tools.ant.taskdefs.optional.net.FTP.FTPDirectoryScanner	protected void scandir(java.lang.String, java.lang.String, boolean) 	slowScanAllowed	B13	1/3
org.apache.tools.ant.taskdefs.optional.net.FTP	private long getTimeDiff(org.apache.commons.net.ftp.FTPClient) 	mydelete	B5	1/3
org.apache.tools.ant.taskdefs.optional.sound.SoundTask	public void execute() 	success	B3	1/3
org.apache.tools.ant.types.TarScanner	protected void fillMapsFromArchive(org.apache.tools.ant.types.Resource, java.lang.String, Map#RAW, Map#RAW, Map#RAW, Map#RAW) 	name	B3	1/3
org.apache.tools.ant.types.XMLCatalog	private void setEntityResolver(javax.xml.transform.sax.SAXSource) throws javax.xml.transform.TransformerException	reader	B2	1/3
org.apache.tools.ant.types.resolver.ApacheCatalogResolver	public void parseCatalog(java.lang.String) 	apacheCatalog	B1	1/3
org.apache.tools.ant.util.ResourceUtils	private static void logFuture(org.apache.tools.ant.ProjectComponent, org.apache.tools.ant.types.ResourceCollection, long) 	future	B1	1/3
org.apache.tools.zip.ZipEntryTest	public void testExtraFields() 	u2	B1	1/3
org.apache.tools.zip.ZipEntryTest	public void testExtraFields() 	u3	B1	1/3
org.apache.tools.ant.taskdefs.ProcessDestroyerTest	public void testProcessDestroyer() 	processDestroyer	B3	2/3
org.apache.tools.ant.taskdefs.JavaTest.PipeEntryPoint	public static void main(java.lang.String[]) 	os	B1	3/6
org.apache.tools.ant.taskdefs.JavaTest.PipeEntryPoint	public static void main(java.lang.String[]) 	os	B2	2/4
org.apache.tools.ant.taskdefs.JavaTest.PipeEntryPoint	public static void main(java.lang.String[]) 	os	B4	1/3
org.apache.tools.ant.taskdefs.JavaTest.PipeEntryPoint	public static void main(java.lang.String[]) 	os	B6	0/2
org.apache.tools.bzip2.CBZip2InputStream	private void createHuffmanDecodingTables(int, int) 	minLen	B3	3/6
org.apache.tools.bzip2.CBZip2InputStream	private void createHuffmanDecodingTables(int, int) 	minLen	B4	2/4
org.apache.tools.bzip2.CBZip2InputStream	private void createHuffmanDecodingTables(int, int) 	minLen	B5	1/3
org.apache.tools.bzip2.CBZip2InputStream	private void createHuffmanDecodingTables(int, int) 	minLen	B7	0/2
org.apache.tools.bzip2.CBZip2OutputStream	private void sendMTFValues3(int, int) 	minLen	B3	3/6
org.apache.tools.bzip2.CBZip2OutputStream	private void sendMTFValues3(int, int) 	minLen	B4	2/4
org.apache.tools.bzip2.CBZip2OutputStream	private void sendMTFValues3(int, int) 	minLen	B5	1/3
org.apache.tools.bzip2.CBZip2OutputStream	private void sendMTFValues3(int, int) 	minLen	B7	0/2
org.apache.tools.ant.taskdefs.Available	public boolean eval() throws org.apache.tools.ant.BuildException	appendix	B3	4/6
org.apache.tools.ant.taskdefs.Available	public boolean eval() throws org.apache.tools.ant.BuildException	appendix	B8	1/3
org.apache.tools.ant.taskdefs.XSLTProcess	private void resolveProcessor(java.lang.String) throws java.lang.Exception	classname	B1	2/6
org.apache.tools.ant.taskdefs.cvslib.ChangeLogParser	private void saveEntry() 	entry	B1	2/6
org.apache.tools.ant.types.XMLCatalog	public javax.xml.transform.Source resolve(java.lang.String, java.lang.String) throws javax.xml.transform.TransformerException	baseURL	B4	2/6
org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector	public void configure() 	cachefile	B3	2/6
org.apache.tools.ant.taskdefs.optional.dotnet.WsdlToDotnet	public void execute() throws org.apache.tools.ant.BuildException	rebuild	B11	3/9
org.apache.tools.bzip2.CBZip2OutputStream	private void writeRun() throws java.io.IOException	dataShadow	B2	12/18
org.apache.tools.ant.taskdefs.condition.Os	public static boolean isOs(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	isFamily	B2	14/33
org.apache.tools.ant.taskdefs.condition.Os	public static boolean isOs(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	isFamily	B3	13/31
org.apache.tools.ant.taskdefs.condition.Os	public static boolean isOs(java.lang.String, java.lang.String, java.lang.String, java.lang.String) 	isFamily	B5	13/25
org.apache.tools.ant.filters.FixCrLfFilter.NormalizeEolFilter	public int read() throws java.io.IOException	atEnd	B2	8/11
org.apache.tools.ant.taskdefs.Copy	public void execute() throws org.apache.tools.ant.BuildException	name	B25	2/5
org.apache.tools.ant.taskdefs.Copy	public void execute() throws org.apache.tools.ant.BuildException	name	B26	1/3
org.apache.tools.ant.helper.ProjectHelper2.ProjectHandler	public void onStartElement(java.lang.String, java.lang.String, java.lang.String, org.xml.sax.Attributes, org.apache.tools.ant.helper.AntXMLContext) throws org.xml.sax.SAXParseException	baseDir	B13	3/5
org.apache.tools.ant.helper.ProjectHelper2.ProjectHandler	public void onStartElement(java.lang.String, java.lang.String, java.lang.String, org.xml.sax.Attributes, org.apache.tools.ant.helper.AntXMLContext) throws org.xml.sax.SAXParseException	baseDir	B17	2/4
org.apache.tools.ant.helper.ProjectHelper2.ProjectHandler	public void onStartElement(java.lang.String, java.lang.String, java.lang.String, org.xml.sax.Attributes, org.apache.tools.ant.helper.AntXMLContext) throws org.xml.sax.SAXParseException	baseDir	B18	0/2
org.apache.tools.ant.helper.ProjectHelperImpl2.ProjectHandler	public void onStartElement(java.lang.String, java.lang.String, java.lang.String, org.xml.sax.Attributes, org.apache.tools.ant.helper.ProjectHelperImpl2.AntXmlContext) throws org.xml.sax.SAXParseException	baseDir	B11	3/5
org.apache.tools.ant.helper.ProjectHelperImpl2.ProjectHandler	public void onStartElement(java.lang.String, java.lang.String, java.lang.String, org.xml.sax.Attributes, org.apache.tools.ant.helper.ProjectHelperImpl2.AntXmlContext) throws org.xml.sax.SAXParseException	baseDir	B15	2/4
